Datum,Titel,Ereignis,Personen,Literatur,Archiv,Signatur/Inventarnr.,Folierung,Quelle
[J] 1612-05-10,Aufkündigung des Vertrags zwischen Graf Ernst zu Holstein-Schaumburg und den sämtlichen Steinhauern von Stadthagen und Obernkirchen,"Steinhauer können Kuhlen nicht länger gemeinsam bewirtschaften. Es wurde eine Eingabe beim Kanzler gemacht und der Vogt Ditris von Berisk soll überprüfen, dass ab jetzt nicht mehr in den Kuhlen gearbeitet wird (wahrscheinlich bis neue Pachtverträge abgeschlossen werden).
Verknüpfungswunsch: ID #29; ID #11756","ID #12024; ID #5703 (Sämtliche Steinhauer zu Stadthagen und Obernkirchen), Kanzler zu Holstein-Schaumburg, Vogt Ditris von Berisk",,NLA BÜ,L 1 Nr. 6864,7r-v,
[J] 1615-02-08,Brief von Herzog Friedrich Ulrich zu Braunschweig-Lüneburg an Graf Ernst zu Holstein-Schaumburg betr. Bestellung von Stein und Quaderstücken zur Reparatur des herzoglichen Gebäudes,"Herzog Friedrich U. bittet um ca. 40 Fuder bzw. wenn möglich mehr Stein zur Reparatur seines bei einem Gewitter beschädigten Sitzes in Stolzenau.
Verknüpfungswunsch: ID #29; ID #11756; ID #2",ID #12024; Herzog Friedrich Ulrich zu Braunschweig-Lüneburg,,NLA BÜ,L 1 Nr. 6894,36r-v,
[J] 1615-03-16,Antwort des Grafen Ernst zu Holstein-Schaumburg an Herzog Friedrich Ulrich zu Braunschweig-Lüneburg betr. Steinbestellung des Herzogs,"Ernst hat Brief des Herzogs vom 8.2.15 erhalten und betont, dass er keine 80 Fuder Quadersteine aus Steingruben beschaffen kann, außer aus seinen eigenen, da er die anderen verpachtet habe. Er wird aber, um seine Freundschaft zu bezeugen, Stein aus seinen eigenen Gruben zur Verfügung stellen. Diese Steine wird er durch einen Untertanen des Herzogs brechen lassen. 
Verknüpfungswunsch: ID #29; ID #11756; ID #2",ID #12024; Herzog Friedrich Ulrich zu Braunschweig-Lüneburg,,NLA BÜ,L 1 Nr. 6894,38r-v,
[J] 1617-08-19,Konzept eines Briefes (nicht abgegangen) des Holstein-Schaumburgischen Kanzlers und der Räte an den Bremer Rat und die dortigen Bürgermeister betr. Steinstapel,"Weiterleitung einer Beschwerde der sämtlichen Steinhauer zu Obernkirchen an den Grafen, die diesen bitten sich für das Ende des Bremer Steinstapels einzusetzen. Dieser sei ein Hemmnis im Handel, weshalb eine erneute Freigabe des Steinhandels in Bremen verlangt wird.
Verknüpfungswunsch: ID #29; ID #668; ID #11756","ID #12024; ID #5703; ID #753; Räte und Kanzler von Holstein-Schaumburg, Kanzler Julius Adolf [???], ",,NLA BÜ,L 1 Nr. 6866,2r-v,
[J] 1617-08-17,Brief der sämtlichen Steinhauer zu Obernkirchen an Graf Ernst zu Holstein-Schaumburg btr. Bitte um Unterstützung bei Einspruch gegen Bremer Steinstapel,"Darstellung der alten Verhältnissen. ""... zo und allewege dar löblichen Stadt Bremen unterfosere Bürger auch fremdbde kauffleute mit unseren antecessorn auch uns umb aller handt stucke steine von E. G. Steinberge gehandelt die widerumb dann durch gantz Holl- und Sehlandt, daselbst dann solche Schauwenburgische Stein in gewaltigen Ruhm, für der Stadt Bremen Uber, weith und seitt sein geschiffet und verhandelt worden. die weil wir aber glaubwendig berichtet werden, das nunmehr ein [??] Rath der Stadt Bremen solche Vorüber schiffung durchaus nicht gestanden wollen, danun solche solte Continuieret werden wilte E. G. nicht allein an der Bergwahr in groß abgehen sondern wir armen Unterthanen wurden Dadurch in unserm handel verkurzet werden."" Graf soll sich, auch im eigenen Interesse, dafür einsetzen, dass der Stapel in Bremen aufgehoben wird.
Verknüpfungswunsch: ID #29; ID #668; ID #11756",ID #12024; ID #5703; ID #753,,NLA BÜ,L 1 Nr. 6866,6r-7v,
[J] 1617-08-27,stark beschädigtes Konzept aus Schaumburg an Bürgermeister und Rat der Stadt Bremen betr. Steinstapel in Bremen,"Hinweise auf Probleme der Obernkirchener Steinhauer bzw. auch anderer (Bremer) Steinhändler, da der Stein nicht mehr weiter als bis Bremen geführt werden kann. Bitte darum, wieder zum ""alte[n] und wolhergebracht Commercia"" zurückzukehren.
Verknüpfungswunsch: ID #29; ID #668; ID #11756",ID #753,,NLA BÜ ,L 1 Nr. 6866,3r-5r,
[J] 1617-09-05,Schreiben der Bremischen Kanzlei an Graf Ernst zu Holstein-Schaumburg bzw. dessen Kanzler und Räte betr. Eingangsbestätigung  eines Schreibens vom 27.08.,"Bestätigung des Empfangs der Beschwerde über den Bremer Stapel
Verknüpfungswunsch: ID #29; ID #668","ID #12024; Kanzlei Bremen, Kanzler und Räte der Grafschaft Holstein-Schaumburg",,NLA BÜ,L 1 Nr. 6866,8r-v,
[J] 1617-09-27,Schreiben des Hamburger Rats an den Bremer Rat mit der Bitte um Zollfreiheit bei der Durchfuhr von 150 Fuder Blockstein durch Bremen,"Der Hamburger Rat wendet sich an den Rat von Bremen, eine zollfreie Durchfuhr nicht allein von 150 Fuder, sondern von 200 Fudern Blockstein zu ermöglichen, die durch den Hamburger Bürger Dietrich Richers abgefertigt werden soll. 
Verknüpfungswunsch: ID #668; ID #1296","ID #753; Rat der Stadt Hamburg, Rat der Stadt Bremen, Dietrich Richers (Bürger Hamburgs)",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1617-11-27,Konzept eines Schreibens des Bremer Rats an [Rat Hamburg?] bezüglich Steinstapel,"Der Bremer Rat antwortet auf eine Anfrage, 200 Fuder Blockstein zollfrei passieren zu lassen, mit einem Hinweis auf das kaiserliche Privileg eines Stapels auf ""block oder andere steine"". Diese dürften weder an Bremen ""verbei geschiffett noch aus geführett werden..."" Mit den Hinweis auf die Verweigerung der Erleichterung an den ""herr Staden von Hollandt und Westfriesland"" verweist man auf die Unmöglichkeit, eine solche Erleichterungen nun in diesem Fall zu erlassen. Eine Befreiung von Zoll und Akziese wird nur auf in Bremen gekauft und bearbeitete Steine gewährt.
Verknüpfungswunsch: ID #1296; ID #668","ID #753; Rat der Stadt Hamburg, Herr der Staaten von Holland und Westfriesland ",,StAB,2-R.8.d.Bd. 2,unfoliert,
1618,Einrichtung einer Bruchaufsicht auf dem Bückeberg,"Wegen heimlicher Steinentnahme soll auf dem Bückeberg ein Wächter zur Überwachung der Steinentnahme eingesetzt werden (Tag/Nacht).
Verknüpfungswunsch: ID #29; ID #11756
",,"ID #164, S. 155f",NLA BÜ,L 1 Nr. 6861,29r-v,
[J] 1618-02-18,"Brief der holstein-schaumburgischen Landroste, Kanzler und Räte an die Bürgermeister und den Rat zu Bremen betr. Bremer Stein Stapel","Schaumburger wenden sich an den Bremer Rat, um eine Erklärung für die Einführung des Steinstapels zu verlangen, betonen, dass dieser auch den Handel der Bremer Steinhauer erschwere, da diese nicht mehr den Stein in Schaumburg kaufen und zu den Verkäufern außerhalb Bremens bringen könnten. es wird darauf gedrängt, den Stapel zum beidseitigen Besten wieder aufzuheben.
Verknüpfungswunsch: ID #29; ID #668","ID #753; ID #12024; ID #5703; Landrost, Kanzler zu Holstein-Schaumburg, Räte von Holstein-Schaumb.",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1619-09-08,Schreiben des Bremer Rats an den Rat zu Hamburg bezüglich Stattgeben der Bitte um freie Vorbeifuhr von Sandstein,"Der Bremer Rat gibt der Bitte des Hamburger Rates um eine freie Vorbeifuhr von 30 Fuder Bückeberger Stein [nicht?] statt. Diese sollten durch den Lt. Derhandt von Holtz nach Hamburg verbracht werden.
Verknüpfungswunsch: ID #668; ID #1296; ID #11756","ID #753; Hamburger Rat, Lt. Derhandt von Holtz (Beauftragter Hamburgs?)",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1620-05-28,Schreiben des Hamburger Rats an den Rat zu Bremen bezüglich der Bitte Stein für die Hamburger Festungsanlage passieren zu lassen,"Der Hamburger Rat hat durch seine Bürger Henning Heichridder und Zacharias Harman ""1000 voder Bückeberger unnd 2000 Ellen strakstein zu behueff dieser Stadt angefangenen fortification"" kaufen lassen und sie auch mit dem Transport nach Hamburg betraut. Die Durchfahrt sei ihnen jedoch in Bremen verweigert worden. Mit dem Hinweis, dass die Steine nicht für private Zwecke genutzt werden würden, bitten die Hamburger um eine zollfreie Durchfahrt der Steine.
Verknüpfungswunsch: ID #668; ID #1296; ID #11756","ID #753; Rat der Stadt Hamburg, Henning Heichridder (Bürger Hamburgs), Zacharias Harman (Bürger Hamburgs)",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1620-08-07,Brief von Bürgermeister und Rat der Stadt Hamburg an Graf Ernst zu Holstein-Schaumburg betr. Bitte um Unterstützung bei Verhandlungen mit Bremen bezügl. Durchfuhr von Blockstein,"Stadt Hamburg benötigt für Gebäude 1000 Fuder Bückeburger Blocksteine ""und weill wir vernemmen, das ein Erbar Rath der Stadt Bremen sich difficultieretn dero gleichen Blockstein durchpassieren zulassen..."" bitten sie den Grafen von Holstein-Schaumburg um Vermittlung.
Verknüpfungswunsch: ID #29; ID #1296; ID #668",ID #753; ID #12024; Bürgermeister und Rat der Stadt Hamburg,,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1620-08-18,Brief von Graf Ernst zu Holstein-Schaumburg an Bürgermeister und Rat der Stadt Bremen betr. Vorüberfuhr von Stein für die Stadt Hamburg,"Graf Ernst wendet sich im Namen des Hamburger Rats an die Bremer, um diese dazu zu bringen, die von den Hamburgern in Schaumburg gekauften Steine durch Bremen hindurchpassieren zu lassen.
Verknüpfung: ID #29; ID #668; ID #1296","ID #12024; ID #753; Bürgermeister und Rat der Stadt Hamburg, ",,StAB,2-R.8.d.Bd. 2,unfoliert,
1620/21,Bergwarregister mit Auflistung verschiedener Sandsteinprodukte aus den Bückeberger Steinbrüchen,"Sandsteinprodukte des Bergwar-Registers von 1620-21: 
- Astricht 
- rauhen Astrich
- Schubstein
- Stestück
- Lichstein
- Klack(-stein)
- Kolocher
- Dommnur
- (Stein-)Trog
- Kump
- Treddestein
- Schurstein
- siedenstück
- Rur(en)stein
- Grensing
- Bricke 
- Sootstück
- Renne
- Blockstein
- Hauwerk
- Quader
- Slupstein
Verknüpfungswunsch: ID #29; ID #11756",,"ID #164, S. 152f.",NLA BÜ,L 1 Nr. 6875,,
[J] 1622-09-04,Eingabe der Sämtlichen Amtssteinhauer von Obernkirchen an Nachfolger Ernsts zu Holstein-Schaumburg betr. Bitte um Hilfe bezüglich Bremer Steinstapel,"Amtssteinhauer wenden sich nach dem Tod Ernsts an die Regierung bzw. an dessen Nachfolger, um um Hilfe bei der Aufhebung des Bremer Steinstapels zu bitten. Argumente sind Rückgang der Bergwar für den Grafen, Verhinderung des Handels mit entfernteren Seestädten und Lagerkosten ""auch aus weile zimmlich viel Steine an die weser geführet und unser nicht schlechte mühe und costen geursachet sehr große schaden um Keuffe zu gespannen werden..."" Bremen solle den Stapel wieder aufheben.
Verknüfungswunsch: ID #29; ID #668",ID #753; ID #5703; ID #12024,,NLA BÜ,L 1 Nr. 6866,9r-v,
[J] 1623-09-08,Eingabe der sämtlichen Amtssteinhauer zu Obernkirchen an Graf Jobst Hermann zu Holstein-Schaumburg betr. Beschwerde bezüglich des Bremer Stapels,"Hinweis auf frühere Probleme mit dem Stapel in Bremen, dieses ""ist doch auff unser Underthanig suppliciren und darüber von Ihr frstl. gnaden an einen Ernuesten und Hochweisen Raht der Stadt Bremen ertheilts schreiben, selbiges asopaltt cassiret"" worden. Jetzt kommt es allerdings zur Monopolbildung im Steinhandel, ""veleicht woll zumahll ohn wisen, wolgedachten Rahtes zu Bremen..."" Der Graf soll sich dafür einsetzen ""solche Neuerung aus die bahn zu bringen, da durch nicht allein E. W. bergwahr geschmelert bey des Weitabgelegenen Sehestätten, die Commertien verhindert, söndern auch uns, weilln zimblich viell steine an die Wesser geführt, und uns nicht schlechte Mühe und Costen geursachet, sehr großen schaden am Kauffe zugesp[??] weder wolte..."" Bitte an Grafen, sich in Bremen für Aufhebung der Behinderung einzusetzten.
Vernknüpfungswunsch: Id #29; ID #668; ID #745",ID #753; ID #5703; ID #12024; ID #12025,,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1623-09-11,Brief des Bückeburger Rates S. L. von Amelunge an die Bürgermeister und den Rat der Stadt Bremen betr. Bremer Steinstapel,"Bezugnahme auf eine Klage der sämtlichen Amtssteinhauer in Schaumburg an den Grafen Jobst Herman über den Steinstapel in Bremen, dieser würde zur unrechten Monopolbildung führen. von Amelunge hofft, dass dieser Stapel nicht vom Rat selbst, sondern nur von einigen gewinnsüchtigen Personen eingeführt worden sei und hofft, dass es bald zu einer Aufhebung kommt.
Verknüpfungswunsch: ID #29; ID #668","ID #753; ID #12025; S.L. von Amelunge (Rat in Bückeburg), sämtliche Amtssteinhauer der Grafschaft Holstein-Schaumburg",,NLA BÜ,L 1 Nr. 6866,11r,"(Konzept), auch: StAB 2-6.8.d. Bd. 2, Bl. 27-29. (abgesandter Brief)"
[J] 1623-12-03,Brief des Grafen Jost Hermann zu Holstein-Schaumburg an die Bürgermeister und den Rat zu Bremen betr. Steinstapel in Bremen und Beschwerde der schaumburgischen Steinhauer,"Bitte um Aufhebung des Bremer Stapels auch im Hinblick darauf, dass auch Bremer Steinhändler durch den Stapel in ihrem Handel behindert werden. Das Schreiben ist eine Wiederholung vorheriger Bitten, da vorherige Briefe bisher unbeantwortet geblieben seien. 
Verknüpfungswunsch: ID #29; ID #668",ID #12025; ID #753; ID #5703 (sämtliche Amtssteinhauer zu Obernkirchen),,NLA BÜ ,L 1 Nr. 6866,12r-v,
[J] 1623-12-13,Schreiben der Bürgermeister und des Rates der Stadt Bremen an Graf Jobst Hermann zu Holstein-Schaumburg betr. Aufrechterhaltung des Bremer Steinstapels,"Bezugnahme auf die Schreiben des Grafen vom 3. Juli und der schaumburgischen Räte vom 11. September, in denen die Beschwerden der Steinhauer zu Obernkirchen dargestellt wurden. Antworten waren aber wohl aus Bremen bereits abgegangen. Die Stadt erklärt, dass es sich bei dem Stapel um ein kaiserliches Privileg handle, dass sie bereits sehr lange besäße und sie dieses ""nicht in neuwligkeit, wie E. G. mögen berichtt sein, solche gerechtigkeitt eingeführett, sondern dieselbe aber aller menschen gedenken [??] continuiert und gerbracht..."" Vorherige Vorbeifuhren seinen aus Freundschaft und gutem nachbarschaftlichen Verhältnis gestattet worden. Dies solle aber nun strenger geregelt werden. Darüber hinaus sollten sich die Obernkirchener Steinhauer nicht beschweren, da sie ihren Stein immer noch an Bremer Bürger verkaufen könnten, die diese auch sicher abnehmen würden, da die Nachfrage von Seiten der Stadt Bremen (Besfestigungsanlage) und auch von privater Seite hoch sei. Der Stapel werde also aufrechterhalten.
Verknüpfungswunsch: ID #29; ID #668; ID# 11756",ID #753; ID #12025; ID #5703; Schaumburgische Räte,,NLA BÜ ,L 1 Nr. 6866,15r-17v,
[J] 1624-01-03,Schreiben der sämtlichen Amtssteinhauer zu Obernkirchen an Graf Jobst Hermann zu Holstein-Schaumburg betr. Steinstapel in Bremen,"Dank an den Grafen für Weiterleitung der Beschwerde an die Bremer, Betonung der Steinhauer, dass Stapel, nicht wie von Bremen behauptet, seit alters her besteht. ""...sey sntomal notorietas et euidmetia facti das wiedrige bezeugt, dewile nunmehr über 30 40 50 und mehr Jhar hero so weit wir gedencken die burger und kauffleute in der stadt Bremen mit uns und unseren fürvattern gehandelt und Ihren Stein die stadt bremen fürüber nach Hamburch hollandt seelandt und wohin in gelegen sonder verhindereit Ihres gefallens haben hin schiffen lasen mügen..."" Bremer Kauffleute werden aufgelistet, die dies bezeugen. Bezug auf Fürst Ernst, der sich bezüglich dieser Problematik ebenfalls an die Stadt Bremen gewandt hatte (Ergebnis?). Stapel schneidet Schaumburger vom Steinhandel über Bremen hinaus ab und führt in Abhängigkeit von Bremer Käufern bzw. Verlangt einen hohen Einsatz, wenn die Steinhändler Schaumburgs in Bremen selbst verkaufen wollten (Lagerplatz etc.), dafür haben die ""armen handtwercker"" kein Geld. Konsequenz des Steinstapels auch: Rückgang der Bergwar für Grafen. Erneute Bitte, um Einsatz des Grafen in Bremen zu Gunsten einer Aufhebung des dortigen Stapels.
Verknüpfungswunsch: ID #29; ID #668; ID #11756","ID #12025; ID #5703; ID #753;  Bremer Steinhändler: Reineke Marlus/Marcus, Johan von der Houst, Marcus Schülte/Schulte, Hermen Kreffting(s), Hinrich Schulte(n), Reineke Stoure/Stuver, Simon Schwichausen/Schweghausen, Hinrich Stetbome/Schlottboom",,NLA BÜ ,L 1 Nr. 6866,18r-19v,
[J] 1624-03-09,Schreiben des Hamburger Rats an den Rat der Stadt Bremen bezüglich der Lieferung von 150 Fuder Blockstein durch Bremen,"Die Hamburger wenden sich an den Bremer Rat, um die ungehinderte Durchfuhr von Sandstein für ihr neues Stadttor zu erbitten. Diese Steine waren von dem Hamburger Bürger Zacharias Koemern ausgewählt worden. Die Abfuhr soll erfolgen, sobald das Wasser wieder eisfrei ist.
Verknüpfungswunsch: ID #668; ID #1296","ID #753; Hamburger Rat, Zacharias Koemern (Steinmetz und Bürger Hamburg)",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J]1624-03-14,Auszug aus dem Wittheitsprotokoll der Stadt Bremen betr. Beschwerde bückeburgischer Untertanen über Behinderung des Grausteinhandels,"Protokoll über Wittheitssitzung, in der Beschwerden aus Schaumburg beraten wurden. ""...und ist wegen den Kauff der Blocksteine, da beschweren sich die Meistere und Hendelars mit den Blocksteinen in der Graffschaftt wonhaftich, das man nun eine neuerrung mit den Blocksteinen wil machen und mit alleine niemandt von frembden dieselben alhier lassen passeren vüebeg, sundern das es munche auch unsen eigenen bürgern vürhatten, das sie aber erstern mit dorten kommen und blocksteine einkauffen wie sie diesen gebenuchlich sei gewesen und allegern da undergebreuchlich sei gewesen and allegeren da underschutlichne Kauffleuter so die blocksteine begroßen Summen der ortern nigckauff, alhier wiederumb theils vürkauf theils nach iher gelgeenheit an anderen orten geschiffet, und das sie die aus der Grafschaff nun selbsten den Blockstein hier bringen, und das solches wieder das Herkommen, und die commercien dadurch gesperret werden..."" Die Eingabe wird in der Versammlung diskutiert und einige schlagen vor, ""das ein Erb. Rath den Kauff der blocksteine an sich soll nehmen gleich wie das Holtz auf dem Bawhoff, und was man zu dieser Stadt notturff nit bedraf, an fremde nach Hamburg und anderen wederumb fürkauffen"". Allerdings sprechen sich andere Ratsmitglieder dagegen aus, mit dem Hinweis, dass dieses Vorgehen nachteilig für die Bremer Steinhändler sei. Auch der Protokollant selbst ist dagegen und möchte einen freien Handel. Es wird darauf verwiesen, dass Ratsbeschluss noch folgen wird und dieser dann nach Schaumburg gesendet werden soll.
Verknüpfungswunsch: ID #668; ID #29","ID #753; schaumburgischer Kanzler, schaumburgische Räte, Bückeburgische Untertanen, Steinhauermeister und -händler aus Holstein-Schaumburg",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1624-04-28,Eingabe der sämtlichen Amtssteinhauer zu Obernkirchen an Graf Jobst Hermann zu Holstein-Schaumburg betr. Steinstapel in Bremen und die damit verbundenen Probleme,"Entspricht dem Schreiben vom 1624-01-03
Verknüpfungswunsch: ID #29; ID #668; ID #745","ID #5703; ID #12025; ID #753; ID #5714; ID #554; ID #805; iD #806; ID #804; Bremer Steinhändler: Hermen Kreffting(s) = Kuettings?, Reineke Stoure/Stuver, Hinrich Stetbome/Schlottboom",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1624-05-04,Schreiben des gräfl. Holstein-Schaumburgischen Landdrosten Leonhart von der Borgh an Bürgermeister und Rat der Stadt Bremen betr. Bremer Steinstapel,"Schreiben an den Rat zu Bremen in Bezugnahme auf die Eingabe der sämtlichen Steinhauer zu Obernkirchen an Graf Jobst Hermann. Hinweise nach Bremen, dass man keinen Streit wolle. Der Bremer Vorschlag, dass Steinhändler aus Schaumburg ihre Steine bis Bremen bringen und dort verkaufen sollen, wird als nachteilig für den Schaumburger Steinhandel angesehen. Es käme so zu einer erhöhten Abhängigkeit von Bremer Händlern. Bei Lockerung des Steinstapels sei trotzdem eine genügende Anzahl von Stein für den städtischen Gebrauch in Bremen gesichert. 
Verknüpfungswunsch: ID #29; ID #668; ID #745","ID #753; ID #12025; ID #5703; Leonhart von der Borgh (gräfl. Holstein-Schaumburgischer Landdrost), Bremer Steinhändler",,NLA BÜ,L 1 Nr. 6866,20r-21v,"auch: abgesandter Brief: StAB 2-6.8.d. Bd. 2, unfoliert."
[J] 1624-05-13,Auszug aus dem Wittheitsprotokoll der Stadt Bremen betr. Beschwerde schaumburgischer Untertanen wegen Verbot der Vorbeifuhr von Blockstein,"Verlesung und Diskussion einer Schaumburger Eingabe . In dieser wird über das Verbot der Steinvorbeifuhr in Bremen geklagt: ""und sie derohalben aus ihre Nahrung kehmen, weil jetzund niemand steine kaufen wolte, hiebei ist notiert worden, das unser bürger selbst die Unterthanen dohrt in Lande zu vergleichen Supplicationen aufwiegelten, damit sie nur den Handel ihren gefallens wieder frey bekommen möchten..."" Es werden Namen dieser Steinhändler in Eingabe aus Schaumburg aufgeführt. Ein weiterer Diskussionspunkt ist Akziese auf Blockstein. Diese solle beibehalten werden. Antwort nach Schaumburg: Bremen bezieht sich auf altes Privileg, das nicht aufgehoben werden wird, aber evtl. könne sich der Rat der Stadt Bremen als Steinkäufer anbieten... (leider fehlen die weiteren Seiten).
Verknüpfungswunsch: ID #29; ID #668","ID #753 (Wittheit zu Bremen), Schaumburger Untertanen, Bremer Steinhändler",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1625-07-11,"Brief von Friedrich Herzog zu Schleswig-Holstein an den Bremer Rat betr. Erwerb von 6 bzw. 7000 Fuß ""harten Steins"" für Schleuse, Bitte um Akziesefreiheit","Herzog möchte einen Gesandten nach Bremen schicken, der dort den Stein einkaufen soll. Er bittet darüberhinaus noch um Akziese- und Zollfreiheit.
Verknüpfungswunsch: ID #668",ID #753; Herzog Friedrich zu Schleswig-Holstei,,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1625-07-21,Auszug aus dem Wittheitsprotokoll der Stadt Bremen betr. Verweigerung der Akziesfreien Ausfuhr von Graustein für den Herzog von Holstein,"Diskussion einer Anfrage des Herzogs zu Schleswig-Holstein über akziesfreie Vorbeifuhr von 7000 Fuder Stein. Verweigerung dieses Vorhaben mit Verweis auf Stapel, aber Vorschlag, dass Maurer Dettmar Suhrbick mit dem Abgesandten des Herzogs verhandeln soll, wegen Steinkauf zu Bremen. Eine Befreiung von der Akziese kann jedoch nicht vorgenommen werden.
Verknüpfungswunsch: ID #668","ID #753 (Wittheit zu Bremen), Herzog zu Holstein, Dettmar Suhrbick (Maurer in Bremen)",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1627-08-12,nicht abgegangener Brief der sämtlichen Steinhauer zu Obernkirchen an Graf Ernst zu Holstein-Schaumburg (obwohl er tot ist) betr. Steinstapel in Bremen,"Steinhauer zu Obernkirchen wenden sich erneut an den Grafen, um ihn um Hilfe bei der Aufhebung des Bremer Steinhandels zu bitten.
Verknüpfungswunsch: ID #29; ID #11756; ID #668; ID #745",ID #5703; ID #12024; ID #753,,NLA BÜ,L 1 Nr. 6866,23r-24v,
[J] 1628-05-26,Schreiben des Hamburger Rats an den Rat der Stadt Bremen bezüglich der Passierung von Sandstein nach Hamburg,"Der Hamburger Rat wendet sich an die Bremer Regierung mit der Bitte, die in Bremen gekauften Steine frei zu geben. Dem Bremer Bürger Herman Böckler sei vom Rat verboten worden, diese nach Hamburg zu bringen. Die Hamburger erbitten die Aufhebung diese Verbots
Verknüpfungswunsch: ID #1296; ID #668","ID #753; Rat der Stadt Hamburg, Hermann Böckler (Bürger in Bremen, Verkäufer), Johan Cordes (Bürger in Hamburg, Einkäufer)",,StAB,2-R.8.d.Bd. 2,unfoliert,
[J] 1637-12-12,"Protokoll eines Berichts von Henrich Brotekop, Bürger zu Obernkirchen, zu den Auswirkungen des Bremer Steinstapels","Berichtet: Er habe es selbst erfahren ""wis ob ohn dem auch woll, das keine Steine noch Kolen zu Bremen passiert werden, Der aber die mittell habe, das er Steine dahin zu bringen, vermuege, der konne Sie zu Bremen thene genug Verkauffen, das er auch dieselbe weiter zuführen nicht begere, das es sich offt Intrage de Steine und [??] zu[??] in gemudt gehen, und konne das der Rhat auf die [Lante?] denen die Steine zugeheret.""
Verknüpfungswunsch: ID #29; ID #745; ID #668; ID #12029",Henrich Brotekop/Grotekop (Bürger zu Obernkirchen und Steinhauer),,NLA BÜ,L 1 Nr. 6866,26r,
[J] 1639-07-23,Protokoll des Bergschreibers Otto Sasen über Erhöhung der Bergwar durch Graf Otto V. zu Holstein-Schaumburg,"""bisanhero vor eynen muhlensteyn nuhr 18gr. von [Blockfuhr?] aber 9 gr. erheben laßen, damit sie sich nicht nuhr [??] lasen [?aten] So welten sie ihme anbefeheln haben, den [Berchvuten?] hab im pesition hiventii anzuzeigen, das sie hir führo das duptun, als wie eynen Muhlensteyn 1 Reichstahl un eynen Blockfuhr aber 18 gr geben undt entrichten solten, und weils dises Ihr. Heichg. Gn. in geheim halten wolten, versehen sich dieselben das die es nicht divuhint undt unte die Leute bringen solten [??] es aber Jehde Ruhstein geschehen, holte sich deses [??] das sie coemplarite darumb anzusehen undt bestrafft werden solten.""
Verknüpfungswunsch: ID #29; ID #12029",ID #12026; Otto Sasen (Bergschreiber zu Obernkirchen) ,"ID #164, S. 153",NLA BÜ,L 1 Nr. 6867,,
[J] 1639-07-25,Protokoll über Eingabe einer Beschwerde der Steinhauer zu Obernkirchen über die Erhöhung der Bergwar durch Graf Otto V.,,"ID #12026; Otto Sasen, Steinhauer zu Obernkirchen",,NLA BÜ,L 1 Nr. 6867,,
[J] 1640-03-12,Brief eines Untergebenen (Name nicht lesbar) des Königs von Dänemark an Graf Otto V. zu Holstein-Schaumburg betr. Steinbestellung für Gebäude in Glückstadt,"Untergebener des dänischen Königs wendet sich an Graf Otto V. und bestellt für Blockhaus in Glücksstadt ""bis zu 650 fuß bückeburger Blockstein"" Ein Vorrat von Stein soll, so weiß der Untergebene aus berichten, in Altona liegen, auf diese möchte er gerne zurückgreifen. Ein Meister Johann Cordes könnte sie abführen lassen.
Verknüpfungswunsch: ID #29; ID #11756; Dänemark, Glückstadt","ID #12026; Untergebener des Königs von Dänemark, Meister Johann Cordes",,NLA BÜ,L 1 Nr. 6904,13r-v,
[J] 1640-03-21,"Brief aus Bückeburg, vermutl. eines Untergebenen des Graf Otto zu Holstein-Schaumburg, an Untergebenen des Königs von Dänemark betr. Blockstein für Blockhaus in Glückstadt des Königs von Dänemark. Rechnung über Stein","Das Schreiben auf die Anfrage vom 12. März hat er empfangen. Scheinbar keine Steine bei Altona, aber Untergebener des dänischen Königs bittet Grafen ""das vor behandten 650 Fueß Bolckstein vom Berge zu Schiffe und fahren bis gen Glückstatt"", da diese dort dringend benötigt werden.           32 ½ fud. Steine costen rsth   gl
bis an die Weser                59    15
Fracht bis Bremen             69    12
Bis Hamburg                       69    12
[Amgelt?] - - - - - - - - - - -  10      3
                                                 208     3
Verknüpfungswunsch: ID #29; ID #747; ID #11756; Dänemark, Glückstadt","ID #12026; König von Dänemark
",,NLA BÜ,L 1 Nr. 6904,"15r-16v, 17r",
