Datum,Titel,Ereignis,Personen,Fundort,Inventarnr/Signatur,Folio,Transkription
[G]15970927,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,262,
[G]15970927,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,263,
[G]15971004,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 11 1/2fl.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,264,
[G]15971004,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 5fl-16Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,265,
[G]15971011,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,266,
[G]15971011,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-8Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,267,
[G]15971018,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-8Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,268,
[G]15971018,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661 ,269,
[J]15971019,"Brief von Lüder von Bentheim aus Bremen an Daniel van der Meulen in Leiden, Entbindung von Bürgschaft","Lüder von Bentheim dankt Daniel van der Meulen für die Bürgschaft und löst dieselbe auf, da sie nun nicht mehr benötigt wird.","Lüder von Bentheim, Daniel van der Meulen, Rat der Stadt Leiden",ELO,0096 317,1,
[G]15971025,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-8Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,270,
[G]15971025,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,271,
[G]15971101,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-8Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,272,
[G]15971101,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,273,
[G]15971101,"Rechnungsbeilage, Quittungen des Veestmeesters, Reisegeldauszahlung Albert Rotvelt",Reisegeldauszahlung durch Andries Jacobsz an Albert Rotvelt von 28fl-4Stv.,"Albert Rotvelt, Andries Jacobsz",ELO,0501A 8661,274,
[G]15971108,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 7fl.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,275,
[G]15971110,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 1fl-8Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,276,
[G]15980401,"Brief der Stadt Leiden an Albert Rotvelt in Bremen, Bitte um vertragsgemäße Steinlieferung","Bestätigung der Ankunft von Rotvelts Brief an den Stadtsteinhauer in Leiden. Bitte der Stadt Leiden um vertragsgemäße Lieferung des Steins, da der Stadtsteinhauer in 4-6 Wochen ohne Arbeit sei sowie Bezahlung der Lieferung.","Albert Rotvelt, Claes Cornelisz, Stadt Leiden",ELO,0501A 299,94r,
[J]15980502,"Brief Albert Rotvelts aus Bremen an Stadt Leiden, Bitte um Bezahlung der ausstehenden 300 Rtlr für Arbeiten fürs Rathaus","Albert Rotvelt bittet um die Bezahlung der restlichen 300 Rtlr folgend dem Vertrag vom [J]23-10-1597, er habe durch Schiffer Franz Jansz de Mey Material liefern lassen.","Albert Rotvelt, Rat der Stadt Leiden, Franz den Moyen (Franz Jansz de Mey), Andries Jacobsz",ELO,0501A 8664,476r - 476v,
[G]15980528,Quittung über Bezahlung der Frachtkosten von Franz Jansz de Mey für Steinlieferung durch Bürgermeister zu Leiden,"Bezahlung der Fracht- und sonstiger Kosten von Franz Jansz de Mey für seinen Transport von bearbeitetem Steinmaterial von Albert Rotvelt nach Leiden. Hinzu kommen Kosten für die Fahrt innerhalb der Niederlande, z. B. durch Haarlem.","Franz Jansz de Mey, Andries Jacobsz, Claes Adriaenisz, Laurens Andriesz, Jan Sykgebertsz, Albert Rotvelt",ELO,0501A 8664,489f,
[G]15980530,"Quittung über Lohnauszahlung an Cornelis Enertsz und Bruder durch Andries Jacobsz für ""Steineschleppen""",Lohanauszahlung für das Löschen von Bremer Stein in Leiden an Cornelis Enertsz und seinen Bruder durch Veestmeester Andries Jacobsz. Der Stein dient der Erneuerung des Rathauses.,"Andries Jacobsz, Cornilis Enertsz und Bruder",ELO ,0501A 8664,609,
[J]15980612,Brief Albert Rotvelts aus Bremen an Bürger- und Veestmeester Andries Jacobsz in Leiden mit Bitte um Bezahlung für Rathauselemente,"Bitte Rotvelts an den Bürgermeister, die noch ausstehenden 300 Rtl und das von Rotvelt ausgelegte Akziesegeld von 5 1/2 Rtl zu bezahlen. Das Geld soll dem Boten Jürgen von Dockum direkt mitgegeben werden.","Albert Rotvelt, Andries Jacobsz, Jürgen von Dockum",ELO,0501A 8664,478,
[G]15980703,Quittung über Auszahlung von 703fl-13Stv für Albert Rotvelt an Joren van Dockum durch Andries Jacobsz,"Joren van Dockum, Bote zu Bremen, nimmt die 703fl-13Stv entgegen, die den 300 Rtl und dem Akziesegeld entsprechen, das noch an Albert Rotvelt ausgezahlt werden muss.","Joren van Dockum, Albert Rotvelt, Andries Jacobsz",ELO,0501A 8664,477,
[G]15980829,Quittung über Lohnauszahlung an Claes Cornelisz und Harmen Claesz für Arbeiten am Rathaus,"Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz für Arbeiten am Leidener Rathaus. Bezahlung der Reise Claes Cornelisz nach Amsterdam, um dort nach Bremer Stein zu suchen.","Andries Jacobsz, Claes Cornelisz, Harmen Claesz",ELO,0501A 8663,232,
[G]15980912,Quittung über Lohnauszahlungen an Stadtzimmermann Joris Andriesz und Mitarbeiter für Arbeiten am Rathaus,"Joris Andriesz, Stadtzimmermann, und seine Mitarbeiter erhalten Gehalt für den Einbau von Fenstern und Türen in das Rathaus. Auszahlung erfolgt durch Andries Jacobsz.","Joris Andriesz, Andries Jacobsz, Cornelis Jansz, Cornelis Cornelisz,  Mathies Geritsz, Dirck Jeesten, Willem Heyndricksz, Symon Pietersz, Jacop Geritsz, Cornelis Tonisz",ELO,0501A 8663,132,
[G]15991212,"Brief der Stadt Leiden an Andries van der Meulen in Bremen, Entwurf zur Anfertigung durch Albert Rotvelt oder anderen guten Werkmeister","Übersendung eines Grundrisses und eines Entwurfs an Andries van der Meulen mit der Bitte, die entsprechende Ausführung aus Bückeberger Stein durch Albert Rotvelt oder einen anderen geeigneten Steinhauer in Bremen zu veranlassen.","Andries van der Meulen, Albert Rotvelt, Bürgermeister der Stadt Leiden",ELO,0501A 299,132r,
[G]16000510,"Brief von Lieven de Key aus Haarlem an Daniel van der Meulen in Leiden, Unterredung mit Lüder von Bentheim wegen Steinlieferung","Bitte an Daniel van der Meulen, sich, wenn er nach Bremen kommt, bei Lüder von Bentheim nach den von Lieven de Key bestellten Steinen zu erkundigen (300 Fuß), De Key habe erst 192 Fuß erhalten.","Lieven de Key, Daniel van der Meulen, Lüder von Bentheim",ELO ,0096 393 ,29 - 31,
[G]16002605,"Brief von Lieven de Key aus Haarlem an Daniel van der Meulen in Leiden, wiederholte Bitte, Lüder von Bentheim wegen des Steins anzusprechen","Wiederholung der Bitte, ob sich Daniel van der Meulen in Bremen bei Lüder von Bentheim nach den Steinen für De Key erkundigen kann.","Lieven de Key, Daniel van der Meulen, Lüder von Bentheim, Sr della Faille, Andries van der Meulen",ELO,0096 393,33 - 34,
