Datum,Titel,Kommentar,Personen,Literatur,Archiv,Signatur/Inventarnr,Folierung
[J] 1563-09-02 ,Schreiben des Antwerpener Rates an Graf Otto zu Holstein-Schaumburg mit Dank für den Landtransport des Steines durch gräfliche Amtsleute,"Schreiben des Rates von Amsterdam an den Grafen zu Holstein-Schaumburg mit dem Hinweis, dass der Bürger Peter de Hase bis nach Bückeburg gereist sei, um mit der Hilfe der gräflichen Amtleute die Abfuhr der Steine zu verhandeln. Darüber hinaus habe Peter de Hase auch Geschenke überbringen sollen. Sie hoffen, dass der Graf Anthonis von Seron bei der Organisation der Steinausfuhr unterstützt und möchten den Grafen bei evtl. späteren Geschäften mit Antwerpen ebenfalls helfen. Sie hoffen auch, dass das Auslaufen des Vertrags zwischen dem Grafen und Anthonis von Seron keine Hinderung für den Abtransport bereits gebrochener Steine sei.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669), Bückeburg (ID #747), Bückeberg; Rathaus Antwerpen","Rat zu Antwerpen, Graf Otto zu Holstein-Schaumburg, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,NLA Bü ," L 1 Nr. 6913, ",18r-v.
[J] 1563-08-07,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein durch Peter de Hase,"Cornelis de Vos stellt die Rechnung für das Löschen und Transportieren von mind. 2 Schiffen Bremer Stein und bekommt dafür bezahlt: ""Viventvyftich carolus gulden ende neghenthiene stuvers"".
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos,  Peter de Hase (Finanzverwalter Rathaus Antwerpen), Jan de Hase (Steinhauer, Steinlieferant), Jan de Lantmetere, Jan [Ydelurcx?]",,BE SA ,"PK#2197 (Katern 8, S. 4 – 5)",327r-328r
[J] 1563-09-04,Bezahlung von Jan de Hase und Anthonis van Seron für die Lieferung von Bückeberger Stein durch Peter de Hase,"Bezahlung von Jan de Hase und Anthonis von Seron für die Lieferung von Bückeberger Stein. Jan de Hase nimmt ""acht hondert carolus gulden"" für beide an.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197(Katern 8, S. 11)",334r
[J] 1563-09-11 ,Bezahlung von Jan de Hase und Anthonis van Seron für die Lieferung von Bückeberger Stein durch Peter de Hase,"Bezahlung von Jan de Hase und Anthonis von Seron für die Lieferung von Bückeberger Stein. Jan de Hase nimmt ""zeven hondert ende vyfthiene carolus gulden"" für beide an.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 11)",334r
[J] 1563-09-11,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein durch Peter de Hase,"Cornelis de Vos stellt eine Rechnung über das Löschen und Transportieren von ""breemschen steen"" auf. Aufzählung der entladenen Schiffe, Krannutzung, Fuhrwagen. Peter de Hase zahlt Cornelis de Vos ""Sevenentzestich carolus gulden ende eenen stuver"" aus.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Cornelis de Vos, Herman van Campen (Schiffer), Jan brechen (Schiffer), Jacob de Hollander (Schiffer), Herman Lampe (Schiffer), Hen. matysen (Schiffer), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 8, S. 14 – 15)",337r-338r
[J] 1563-09-18,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase werden für die Lieferung von Bückeberger Stein durch ihn und Anthonis von Seron ""drie hondert carolus guldn"" ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"Pk#2197 (Katern 8, S. 11 – 12)",334r-v
[J] 1563-09-25 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase werden für die Lieferung von Bückeberger Stein durch ihn und Anthonis von Seron ""hondert ende vyftich carolus guldn"" ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 12)",334v
[J] 1563-10-02 ,Bezahlung von Jan de Haze auch für Anthonis van Seron für die Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase erhält für sich und Anthonis von Seron eine Summe von ""een hondert carolus guldn"" für die Lieferung von Bückeberger Stein. Ausgezahlt wird das Geld durch seinen Bruder Peter de Hase.
Stil Brabant","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 26)",348v
[J] 1563-10-02,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein durch Peter de Hase,"Cornelis de Vos stellt die Rechnung für das Löschen und Transportieren von Bremer Stein. Seine Rechnung beginnt am 15630915, 15630918. Die Auszahlung erfolgt am 15631002 und beträgt eine Summe von ""vierentwintich carolus guld ende zeven stuvers"".
 Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere, Jan van Aenslaen (Schiffer)",,BE SA ,"PK#2197 (Katern 8, S. 19 – 20)",342r-v
[J] 1563-10-16,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase werden für die Lieferung von Bückeberger Stein durch ihn und Anthonis von Seron ""acht hondert guld"" durch Peter de Hase ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 26 – 27)",349r-v
[J] 1563-10-23,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase erhält für die Lieferung von Bückeberger Stein, welche er und Anthonis von Seron zusammen übernommen haben, die Summe von ""acht hondert carolus guld"". Ausgezahlt wurde das Geld durch Peter de Hase.
 Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 27)",349v
[J] 1563-10-29,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein,"Cornelis de Vos macht genaue Angaben über die verschiedenen Kosten für das Löschen und Transportieren des Bremer Steins zwischen dem 15631012 und 156310123. Er bekommt ""Derthiene carolus guld achtiene stuvers"" ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Anthonis Jacobss (Schiffer), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 8, S. 22 – 23)",345r-v
[J] 1563-10-30,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase bekommt für die durch ihn und Anthonis von Seron erfolgte Lieferung von Bückeberger Stein eine Summe von ""twee hondert carolus gulden"" ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 27)",349v-350r
[J] 1563-11-06,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase erhält für sich und Anthonis von Seron eine Summe von ""een hondert carolus guldn"" für die Lieferung von Bückeberger Stein. Ausgezahlt wird das Geld durch seinen Bruder Peter de Hase.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 32)",355r
[J] 1563-11-13,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase erhält für sich und Anthonis von Seron eine Summe von ""een hondert carolus guldn"" für die Lieferung von Bückeberger Stein. Ausgezahlt wird das Geld durch seinen Bruder Peter de Hase.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 32)",354v-355r
[J] 1563-11-19 ,Bestätigung von Geldzahlung an Peter de Hase für Reise von Antwerpen nach Schaumburg und zurück durch Gecommitteerde,"Nach der Auflistung der unterschiedlichen Ausgaben für Nahrung und Unterkunft bei seiner, Peter de Hases, Reise von Antwerpen nach Obernkirchen und zurück. Nachverfolgung seines Weges ist so möglich. Die Abgeordneten bestätigen die Auszahlung einer Summe von ""Een hondert vierentwintich carolus gulden ende vieerthiene stuvers"".
Stil Brabant
Bezieht sich auf [J] 1563-06-23
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Abgeordnete der Stadt Antwerpen",,BE SA ,"PK#2197 (Katern 11, S. 30)",487v
[J] 1563-11-20,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Peter de Hase zahlt ""Seven hondert carolus guld"" an Jan de Hase aus. Dieser erhält das Geld für die durch ihn und Anthonis von Seron durchgeführte Lieferung von Bückeberger Stein.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 32)",354v
[J] 1563-11-27,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase bekommt für die Lieferung von Bückeberger Stein durch ihn selbst und Anthonis von Seron eine Summe von ""drie hondert carolus guld"" ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 31 – 32)",354r-v
[J] 1563-12-03,Auszahlung an Jan de Hase für die Löhne der bei ihm beschäftigten Steinhauer ab dem 17. Juli 1563 durch Peter de Hase,"Löhne der Steinhauer zwischen dem 17. Juli und dem 02. Oktober 1563 werden ausgezahlt. Jan de Hase erhält ""negenentnegentich carolus guldn ende vyfthiene stuvers...""
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen)",,BE SA ,"Pk#2197 (Katern 8, S. 46 – 47)",368v-369v
[J] 1563-12-11,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase erhält von Peter de Hase eine Summe von ""een hondert carolus guldn"" für die Bezahlung von""buckeberchsschen steen"", welchen er zusammen mit Anthonis von Seron liefert. 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwaltung Rathaus Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis von Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 37)",359v
[J] 1563-12-11,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen und den Transport von Bremer Stein in die Stadt Antwerpen,"Cornelis de Vos stellt die einzelnen Rechnungsposten für das Löschen und Transportieren von Bremer Stein. Die ersten Einträge erfolgten noch Ende November. Die Gesamtsumme beträgt ""viventachtentich carolus guld en derthien stuvers"".
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Jan de Lantmetere, Jacob Corneliss (Schiffer), [and?] van Aenslaen, Andries Janss (Schiffer), Geert Jacobss (Schiffer), Peter de Hase (Finanzverwaltung Rathaus Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 41 – 42)",363v-364v.
[J] 1563-12-18 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase bekommt für die Lieferung von Bückeberger Stein durch ihn selbst und Anthonis von Seron eine Summe von ""een hondert carolus guld"" ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwaltung Rathaus Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis von Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 8, S. 37)",359v
[J] 1563-12-29,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein durch Peter de Hase,"Cornelis de Vos stellt die verschiedenen Kosten für das Löschen und Transportieren von Bremer Stein in Rechnung, welche im Dezember angefallen sind. Er erhält von Peter de Hase ""seven carolus guld sesthiene ende eenen halven stuver"".
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 8, S. 48)",370v-371r
[J] 1564-01-03,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan des Hase bekommt von Peter de Hase ""hondert en vyftich carolus gulden"" ausgezahlt für die Lieferung von Bückeberger Stein, für welche er zusammen mit Anthonis van Seron zuständig war.
Stil Brabant (Jahreswechsel Ostern ->  im Original deshalb 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis von Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 5)",376r
[J] 1564-01-08,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein,"Cornelis de Vos stellt die unterschiedlichen Posten für das Löschen und Transportieren von Bremer Stein in Rechnung, welche er zwischen dem 15631218 und 15631231 ausgegeben hat. Peter de Hase zahlt ihm ""eenentveertich carolus gulden ende vyfthien stuvers"" aus.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathaus Antwerpen), Willem Pauwels (Schiffer), Jan de Lantmetere, Cornelis Brouwer (Schiffer), Jan Willems (Schiffer)",,BE SA ,"PK#2197 (Katern 9, S. 6 – 7)",377r-378r
[J] 1564-02-01 ,Schreiben des Antwerpener Rates an Graf Otto zu Holstein-Schaumburg mit Dank Transport des Steins über Land durch gräfliche Amtsleute,"Das Schreiben bezieht sich noch einmal auf den Besuch Peter de Hases in Bückeburg. Dieser hat in Antwerpen über die große Hilfe des Grafen bei dem Transport der Steine an die Weser berichtet, wofür der Antwerpener Rat erneut dankt. Darüber hinaus hätte der Rat durch Anthonis von Seron erfahren, dass weder der vorherige Brief 15630902 noch die Geschenke an den Grafen und die Gräfin in Schaumburg angekommen seien. Caspar de Hase wird dies nun alles persönlich bringen. Darüber hinaus werden zusätzlich ""twintich oft dertich voederen steens"" bestellt. 
Brabanter Stil (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669), Bückeburg (ID #747); Rathaus Antwerpen","Rat zu Antwerpen, Graf Otto zu Holstein-Schaumburg, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen), Caspar de Hase (Gesandter der Stadt Antwerpen, Bruder von Peter und Jan de Hase)",,NLA Bü ,"L 1 Nr. 6913, ",19r-v.
[J] 1564-02-05 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase erhält für die Lieferung von Bückeberger Stein, welche er und Anthonis von Seron zusammen übernommen haben, die Summe von ""een hondert ende vyftich carolus guld"". Ausgezahlt wurde das Geld durch Peter de Hase.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis von Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 11)",381v-382r
[J] 1564-02-05,Spezifikation und Bezahlung von Cornelis de Vos u.a. für den Transport von bearbeitetem Bremer Stein aus der Logie von Jan de Hase zur Baustelle?,"Cornelis de Vos stellt eine Rechnung für den Steintransport von bearbeiteten ""breemsschen"" Stein aus Jan de Hases Logie zur Baustelle bzw. von rohem Stein in Jan de Hases Werkstatt auf. Diese Arbeit begann am 15640120. Die Summe beträgt ""Tweentwintich carolus gulden thiene ende eenen halven stuvers"".
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 9, S. 14)",384v-385r
[J] 1564-02-10,"Bezahlung von [ ? ] de Waen für Anfertigung von [ ? ] für den Grafen zu Schaumburg für die Lieferung von Stein, gezahlt durch Peter de Hase","Ein [Vicasius?] te Waen wird für die Anfertigung von ""confituren ende vastenspyse"" bezahlt, welche für den Grafen von Schaumburg gedacht und ihm zugesandt werden soll. Die Summe beträgt ""achtentwintich carolus gulden ende eenen halven stuver"". Die Ware stehen im Zusammenhang mit Steinlieferungen.
 Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), [Vicasius?] te Waen (Hersteller von ""confituren ende vastenspyse?), Graf zu Schaumburg",,BE SA ,"PK#2197 (Katern 9, S. 19)",390r
[J] 1564-02-12,"Spezifikation und Bezahlung von Cornelis de Vos, u. a. Transport von behauenem Bückeberger Stein durch Peter de Hase","Cornelis de Vos stellt eine Rechnung für den Transport verschiedener Steine auf. Darunter befindet sich auch behauener Bückeberger Stein aus der Werkstatt von Jan de Hase. Der Transport der unterschiedlichen Steinmaterialien kostet insgesamt ""acht carolus gulden ende acht stuvers.""
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Cornelis de Vos, Jan de Hase (Steinhauer Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 9, S. 20 – 21)",319r-v
[J] 1563-02-12,Bezahlung von Jan de Hase auch für Anthonis van Seron für die Lieferung von Bückeberger Stein,"Jan de Hase erhält von seinem Bruder Peter de Hase die Bezahlung für die Lieferung von Bückeberger Stein, welche von Jan de Hase und Anthonis von Seron durchgeführt wurde. Die Gesamtsumme beträgt ""Sesse hondert ende tzestich carolus guldn"".
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 23)",393v
[J] 1564-02-19,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase werden ""drie hondert carolus gulden"" für die Lieferung von Bückeberger Stein durch ihn selbst und Anthonis von Seron von Peter de Hase ausgezahlt.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 26)",396v-397r
[J] 1564-02-19 ,"Auszahlung der Steinhauerlöhne für die Steinhauer aus der Logie von Jan de Hase vom 12.2-19.2.1563 stil brab., an Jan de Hase","Liste mit Steinhauernamen und Löhen, die durch Jan de Hase in seiner Logie beschäftigt bzw. bezahlt wurden. Es werden unterschiedliche Steinhauer genannt, die zum Teil allerdings an ""namsschen"" Stein arbeiten. Die Löhen insgesamt umfassen ""Tweentwintich carolus gulden ende sesse stuvers"".
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Jan de Hase (Steinhauer Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan Hoppe (Steinhauer), Francho Jacobin (Steinhauer), [Pauwel?], Willem Willemsen (Steinhauer), Jaco de Namuer (Steinhauer), Jan desalm (Steinhauer?)",,BE SA ,"PK#2197 (Katern 9, S. 26 – 27)",397r-v
[J] 1564-02-20,"Konzept über Vereinbarung zwischen Graf Otto zu Holstein-Schaumburg und Caspar de Hase, Gesandter der Stadt Antwerpen über Lieferung von 500 Fuder Bückeberger Stein an die Weser","Im Bericht über die Vereinbarung zwischen dem Grafen Otto zu Holstein-Schaumburg und dem Gesandten der Stadt Anwerpen, Caspar de Hase, wird die Bestellung von ""funff hundert huder blocksteins"" oder mehr bestätigt. Diese werden durch den Grafen bis an die Weser geführt. Dabei werden zweierlei Fudersorten aufgeführt, für die unterschiedliche Abgaben geleistet werden müssen. Zum einen ein ""gemeine[s] fuder, als acht füsse langh, unnd andirhalben fuss dike unnd breith."" Zum anderen ein Fuder ""als acht fusse langh, dritte halben fuss dick und breith..."" Zoll und Bergwar müssen von den Käufern entrichtet werden, für besonders große Steine soll eine entsprechende Abgabe durch die Expertise der Steinhauer festgelegt werden. Die Abfuhr aus den Brüchen soll in der ""Wedelzeit, das ist Zwisschen Pfingsten und den Brute"" geschehen.
Verknüpfungswunsch: Antwerpen (ID #669), Bückeburg (ID #747), Bückeberg; Rathaus Antwerpen","Graf Otto zu Holstein-Schaumburg, Rat von Antwerpen, Caspar de Hase (Bruder von Peter und Jan de Hase)",,NLA Bü ,L 1 Nr. 6913,20r-v
[J] 1564-02-26 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für die Lieferung von Bückeberger Stein durch Peter de Hase,"An Jan de Hase werden für die Lieferung von Bückeberger Stein ""drie hondert ende vyftich carolus gulden"" gezahlt. Die Lieferung erfolgte zusammen mit Anthonis von Seron.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 28)",399r
[J] 1564-03-04 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für die Lieferung von Bückeberger Stein durch Peter de Hase,"Jan de Hase bekommt für sich und Anthonis van Seron eine Summe von ""vyftich carolus gulden"" für die Lieferung von Bückeberger Stein von Peter de Hase ausgezahlt.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 31)",401v
[J] 1564-03-04 ,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein,"Cornelis de Vos stellt das Löschen und Transportieren von ""breemschen steen"" inklusive Krannutzungsgebühren, Fuhrwerke und Arbeitslohn in Rechnung. Ausgeführt wurden die Arbeiten zwischen dem 15640216 und 156402[29?]. Er erhält von Peter de Hase eine Summe von ""hondert negenthiene carolus guldenen ende acht stuvers"".
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Floris Claessen (Schiffer?), Willem Ysebrants (Schiffer), Jacob Jansen (Schiffer?), Cornelis Janssen (Schiffer?), Dielis Wyck ( Schiffer?), Anthonis Jacobss (Schiffer?), Jan de Lantmetere, Jan de Jan (Schiffer!), Jan (Schiffer)",,BE SA ,"PK#2197 (Katern 9, S. 34 – 35)",405r-406r
[J] 1564-03-12 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für die Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und Anthonis von Seron die Summe von ""Een hondert carolus gulden"" für die Lieferung von Bückeberger Stein. Die Auszahlung erfolgt durch Peter de Hase.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 38)",408v
[J] 1564-03-18 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für die Lieferung von Bückeberger Stein,"Peter de Hase zahlt ""hondert ende vyftich carolus gulden"" an seinen Bruder Jan de Hase und an Anthonis von Seron für die Lieferung von Bückeberger Stein nach Antwerpen.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Seinhauer Antwerpen), Anthonis von Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 41 – 42)",412r-v
