Datum,Titel,Ereignis,Personen,Literatur,Archiv,Sig./Inv.,Folierung
[G] 1658-03-30,Zahlung bzw. Übertragung von Sandstein zum Verkauf an die Waisenkinder Spiering durch Nicolas Berkelius als neuen Anteilseingner der Bentheimer Steinhandelskompanie,"Den Waisenkindern des ehemaligen Steinhändlers Hendrick Spiering, dessen Anteil nach dem Tod seiner Frau von Nikolaes Berkelius übernommen wurde, wird eine Auszahlung aus dem Vermögen der Kompanie zu gestanden. Darüber hinaus sollen „moge verkopen en tegelde maken, alle sodanige Bentemmer steenen, als devoors kinderen noch hebben ande leggende mogt sijn alhier ter Steede tot Zwolle...”
Verknüpfungswunsch:
ID #744; ID #5726; Grafschaft Bentheim","ID #639; ID #948; ID #758; Cornelia Bouwers (Frau von Hendrick Spiering), Giacomo Bessels, Guillaum van Rossen, Mathias Tortorolis, Jan Mareman/Merchman",,SAA,5039 Inv. 1603,6v-7r
[G] 1658-06-06,Übernahme des Vertrages zwischen Amsterdam und der Witwe Spiering durch Nicolas Berkelius und Konsorten für die Lieferung von Bentheimer Stein für den selben Preis,"Liste mit Stückzahl und Maßangaben liegt bei. Hinweis darauf, dass die Steine für den Aufbau der Mauern genutzt werden sollen. Daniel Stalpaert hat Liste gesehen. Bezug auf den Vertrag mit Witwe Spiering (Cornelia Brouwer) vom 1652 02 28 [G]
Verknüpfungswunsch:
ID #744; ID #1183; Grafschaft Bentheim","ID #948; ID #646; ID #758; Witwe Spiering (Cornelia Brouwer/Brouger, Steinhändlerin  der holländischen Bentheimer Stein Handelsgesellschaft), ",,SAA,5039 Inv. 2,II
[G] 1659-01-02,Eintrag ins Ausgabenregister 1659 zur Bezahlung von Hendrick Klugkist für Bremer Stein,"Bezahlung  einer Summe von 1501gl-11st-0pen an Hendrick Klugkist für die Lieferung von 78 Block Bremer Stein.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #580,,SAA ,5039 Inv. 151,198r
[G] 1659-10-07,Eintrag ins Resolutie-Buch über Ankunft? von zwei Schiffladungen Bentheimer Stein gesandt von Nicolas Berkelius,"„Nicolas Berkelius. Bentemersteen. Ten Daghe als boven is Nicolas Berkelus aengesteght twee scheepeladinghe steen uyt het Graeftahap Bentem te laten comen, volgen de lyste hem daervan by Gerrit Barentzs de onderfabryck ter hande te stelle op de oude voet ende pryse als vande[?] Priese heeren Wits ende Tulp.“
Verknüpfungswunsch:
ID #744; Grafschaft Bentheim","ID #948; ID #640; ID #758;  Herr Wits (evtl. Witsen, Ratsherr Amsterdam?), Herr Tulp (Ratsherr Amsterdam?)",,SAA ,5039 Inv. 2,36v-37r
[G] 1660-08-28 – 1661-01-02,Gesamtabrechnung der Steinlieferungen von Hendrick Klugkist aus Bremen 1660,"Abrechnung der Steinlieferungen des Jahres 1660 durch Hendrick Klugkist aus Bremen. Zahlungen an Hendrick Klugkist über B. Helmans (16610102[G] 4748gl-7-8) für „316 Blocken Bremer steen bedragen [?] 5664 ¾ voetten in banco beth.“ und an diverse Schiffer (Frachtlohn)
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #580; ID #543; Volckert Waevtgens (Schiffer), Marten Martens (Schiffer), schipper [araht?] Loschart , schipper Holbert Claes, Sibout Andriesen (Schiffer), Jan Wilches (Schiffer), [ouver Voelis?] (Schiffer), Jan Meyndersen (Kranführer Amsterdam?), schipper Hendrick Cater, Frans Lucassen (Schiffer)",,SAA ,5039 Inv. 261,14v
[G] 1661,Bezahlung von Barent Holleman und Nicolas Berkelius für Bremer [sic!] Stein,"„Ander uytgeef van deser stede Fabryck [...] aen Barent Holleman en Nicolas Berkelius beth negenduysent vyffhondert sevenendertich gl dertich dh acht penningen over geleverde Bremersteen gedurde den jare 1661, daer on getekent de vracht lonen [sandvoougelds?] --- f 9537-13-8”
Verknüpfungswunsch:
ID #744; ID #668",ID #543 (Barent Holleman?); ID #948,,SAA ,5039 Inv. 153,188r
[G] 1662,Ausgaben für Bremer Stein geliefert im Jahr 1662 ,"„Ander uijtgeeft van deser stad Fabijck [...] Aen Bremersteen de oncosten opdeselve gevallen in gedunede den Jar 1662 betaelt als p overlev. f. 12 bet tweduysent negententvijftigh achtien dj acht penningen --- f 2059 – 18 – 8” 
[UNSICHERHEIT ob es tatsächlich Bremer Stein, oder wie ein Jahr zuvor, doch Bentheimer Stein ist, auf Grund des fehlenden Lieferanten nicht verifizierbar]
Verknüpfungswunsch:
ID #744",ID #11858,,SAA ,5039 Inv. 154,188r
[G] 1662-05-25,Bezahlung von Barent Helman für Rechnung von Hendrick Klugkist für Bremer Stein,"„betaelt aen barent Helman in banco voor rekeininge van hendrick Clufsist 2012-8-8“ In der selben Abrechnung noch Krangeld “1663 den 12 January betaelt aen Andries [oher?] voor cranengelt van breemer steen 47-10-0“ Ergibt insgesamt 2059 – 18 – 8, siehe Eintrag [G] 1662-05-25.
Verknüpfungswunsch:
ID #744; ID #668",ID #543; ID #580,,SAA ,5039 Inv. 262,12v
[G] 1663-01-12,Bezahlung von Andries [oher?] für Krangeld von Bremer Stein,"siehe Eintrag 1662 bzw. 1662 05 25 [G]
Verknüpfungswunsch:
ID #744; ID #668",ID #543; ID #580; Andries [oher?],,SAA,5039 Inv. 262,12v.
[G] 1663-08-02,"Bestellung von zwei Schiffen mit Bentheimer Stein bei Nicolas Berkelius, Rathaus nicht genannt!","Im Zusammenhang mit Reparaturarbeiten an der Schleuse des Leydse Poort wird weiter unten darauf hingewiesen, dass der dort arbeitende Steinhauer noch zwei Schiffe Bentheimer Stein benötigt, die bei Nicolas Berkelius bestellt werden solle. Eine genaue Bestimmung des späteren Verbauungsortes ist nicht möglich, aber Rathaus ist recht unwahrscheinlich.
Verknüpfungswunsch:
ID #744; Grafschaft Bentheim",ID #948; ID #758,,SAA ,5039 Inv. 2,139r
[G] 1663-10-17,Aufforderung der Lieferung von vier Schiffen Bentheimer Stein durch Nicolaes Berkelius,"Eintrag zu Auftrag über Lieferung von vier Schiffen Bentheimer Stein an Nikolas Berkelius zu 16stv. der Fuß (anderer Preis als für Rathausbau -> Rathaus nicht erwähnt, wahrscheinlich für andere Bauvorhaben benötigt)
Verknüpfungswunsch:
ID #744",ID #948; ID #758,,SAA ,5039 Inv. 2,158r-v
[G] 1663-11-09,Bestätigung eines Vertrags zwischen Nicolas Berkelius und der Stadt Amsterdam bezüglich der Lieferung von 5 Schiffen Bentheimer Stein,"„1663 Den 9. novemb. Berkelius 5 schepen steen Nicolas Berkelius hatt aengenommen te laten comen 5 schepen Bentemer steen op het contract van 17. octob. laetstleden.”
Verknüpfungswunsch:
ID #744; Grafschaft Bentheim",ID #948; ID #758,,SAA ,5039 Inv. 2,160v
[G] 1663-11-21,Beschluss einer Veränderung der Grundstücke in Bezug zur Steinhauerei,"„den 21. novemb 1663 Erven op de Steenhouwerij Hebben de heeren Burgermen en [?] geresolveert dat de Grachet de Heerengraft, keysers graft & leydse gracht, die aftgesteken sullen worden op de grond van Steenhounodry [?] [?] omtrent vercoft sullen worden op den 7. Decemb. derotcomende hyme vrydagh“
Verknüpfungswunsch:
ID #744",ID #11858; ID #918; Bürgermeister der Stadt Amsterdam,,SAA ,5039 Inv. 2,161r
[G] 1664-01-29,Lieferauftrag über zwei Schiffe Maßstein und 2 Schiffe Blockstein aus Bentheim an Nicolas Berkelius,"Eintrag über ein Lieferabkommen für zwei Schiffe bearbeiteten und zwei Schiffe mit Blockstein mit Nicolas Berkelius. Genauer Verwendungszweck für diese 4 Schiffe Bentheimer Sandstein wird nicht genannt.
Verknüpfungswunsch:
ID #744; Grafschaft Bentheim",ID #948,,SAA,5039 Inv. 2,172r
[G] 1664-02-20,Beauftragung für die Fertigstellung der steinernen Treppe vor dem Rathaus,"Der Bürgermeister und Thesaurier unter Führung von Andris de Graeft sprechen sich für die Anfertigung einer steinernen Treppe aus.
Verknüpfungswunsch:
ID #744; ID #1183",Andris de Graeft (Bürgermeister Amsterdam?),,SAA ,5039 Inv. 2,175r
[G] 1664-03-11,Vertrag zwischen Stadt Amsterdam und Nicolas Berkelius über Lieferung von Bentheimer Sandstein für den Preis von 16 Stv der Blockstein,"Keine Erwähnung des Rathauses. Der Bentheimer Stein wurde womöglich bei anderen Bauvorhaben genutzt.
Verknüpfungswunsch:
ID #744; Grafschaft Bentheim",ID  #948; ID #758; ID #918,,SAA,5039 Inv. 2,179r
